aMza	aMSa
aMsa	aMsa
aka	aka
akSa	akza
aga	aga
agha	aGa
aGka	aNka
aGga	aNga
aca	aca
aja	aja
aJca	aYca
aJja	aYja
aTa	awa
aTTa	awwa
aTha	aWa
aDa	aqa
aDDa	aqqa
aNa	aRa
ata	ata
ada	ada
ana	ana
andola	andola
andha	anDa
aba	aba
abha	aBa
abhra	aBra
ama	ama
amba	amba
aya	aya
arka	arka
arca	arca
arja	arja
artha	arTa
arda	arda
ardha	arDa
arbva	arbva
arha	arha
ala	ala
ava	ava
avadhIra	avaDIra
aza	aSa
aSa	aza
asa	asa
aha	aha
Accha	AcCa
Andola	Andola
Apa	Apa
Asa	Asa
i	i
ikha	iKa
iga	iga
iTa	iwa
ida	ida
indha	inDa
ibha	iBa
ila	ila
iva	iva
iSa	iza
I	I
IkSa	Ikza
Ikha	IKa
Ija	Ija
IDa	Iqa
Ita	Ita
Ira	Ira
IrkSya	Irkzya
IrSya	Irzya
Iza	ISa
ISa	Iza
Iha	Iha
u	u
ukSa	ukza
ukha	uKa
uca	uca
uccha	ucCa
uJbha	uYBa
uTa	uwa
udga	udga
udja	udja
udbha	udBa
udhras	uDras
unda	unda
ubja	ubja
ubha	uBa
umbha	umBa
urda	urda
urvva	urvva
uSa	uza
uha	uha
Una	Una
Uya	Uya
Urja	Urja
UrNu	UrRu
USa	Uza
Uha	Uha
R	f
RkSa	fkza
Rca	fca
Rccha	fcCa
Rja	fja
RNa	fRa
Rta	fta
Rdha	fDa
Rpha	fPa
Rmpha	fmPa
RSa	fza
RR	F
eja	eja
eTha	eWa
edha	eDa
eSa	eza
okha	oKa
oja	oja
oNa	oRa
olaDa	olaqa
kaka	kaka
kakka	kakka
kakkha	kakKa
kakha	kaKa
kaga	kaga
kaca	kaca
kaja	kaja
kaTa	kawa
kaTha	kaWa
kaDa	kaqa
kaDDa	kaqqa
kaNa	kaRa
kattha	katTa
katra	katra
katha	kaTa
kada	kada
kana	kana
kapa	kapa
kaba	kaba
